group_id,codex_stage1_sha256,deepseek_stage1_sha256,identical
dm_connected_01,7000d20346bde51ece696928898c34cbdb9c0765951773a7b767af96ba93b331,7000d20346bde51ece696928898c34cbdb9c0765951773a7b767af96ba93b331,TRUE
ae_connected_01,85eaff86ceb82f3969f8dda0242cc37c8b1c990cad40e7999ae3f02c272f77f2,85eaff86ceb82f3969f8dda0242cc37c8b1c990cad40e7999ae3f02c272f77f2,TRUE
vs_connected_01,ee8565b967bb94de568d08a1a09c6c4066dc343dad0834542e856f85943990fd,ee8565b967bb94de568d08a1a09c6c4066dc343dad0834542e856f85943990fd,TRUE
