concept_id,target_domain,target_variables,source_datasets,source_fields,join_rule,aggregation_rule,transform_id,transform_parameters,implementation,sdtm_oak_version,unit_conversion_version,reviewer,reviewed_at,records_created
DM_DEMOGRAPHICS,DM,SEX,dm_raw,dm_raw.IT.SEX,,,assign_ct,"{""codelist_id"":""SEX""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_DEMOGRAPHICS,DM,ETHNIC,dm_raw,dm_raw.IT.ETHNIC,,,assign_ct,"{""codelist_id"":""ETHNIC""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_DEMOGRAPHICS,DM,RACE,dm_raw,dm_raw.IT.RACE,,,assign_ct,"{""codelist_id"":""RACE""}",sdtm.oak::assign_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_DEMOGRAPHICS,DM,COUNTRY,dm_raw,dm_raw.COUNTRY,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_TREATMENT,DM,ARMCD,dm_raw,dm_raw.PLANNED_ARMCD,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_TREATMENT,DM,ARM,dm_raw,dm_raw.PLANNED_ARM,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_TREATMENT,DM,ACTARMCD,dm_raw,dm_raw.ACTUAL_ARMCD,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
DM_TREATMENT,DM,ACTARM,dm_raw,dm_raw.ACTUAL_ARM,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:57Z,6
VS_CORE,VS,STUDYID,vs_raw,vs_raw.STUDY,,,assign_no_ct,[],sdtm.oak::assign_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_CORE,VS,DOMAIN,,,,,hardcode_no_ct,"{""value"":""VS""}",sdtm.oak::hardcode_no_ct,0.2.0,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
VS_CORE,VS,USUBJID,vs_raw,vs_raw.STUDY | vs_raw.PATNUM,,,derive_usubjid,"{""separator"":""-""}",TraceSDTM::derive_usubjid,,,portfolio_demo_reviewer,2026-09-02T09:42:58Z,12
