concept_id,target_domain,gold_categories,function_chain_correct,target_set_complete,complete_plan_correct
DM_REFERENCE_START,DM,source_integration,FALSE,FALSE,FALSE
VS_HEIGHT,VS,record_transposition | unit_conversion,TRUE,TRUE,TRUE
VS_WEIGHT,VS,record_transposition | unit_conversion,TRUE,TRUE,TRUE
VS_TEMP,VS,record_transposition | unit_conversion,TRUE,TRUE,TRUE
VS_SYSBP,VS,record_transposition | unit_conversion,FALSE,TRUE,FALSE
VS_DIABP,VS,record_transposition | unit_conversion,FALSE,TRUE,FALSE
VS_PULSE,VS,record_transposition | unit_conversion,FALSE,TRUE,FALSE
